x-position,y-position,real part of ef,imaginary part of ef,reduced shear
  -0.90613,  -0.05507,   0.23271,  -0.37381,  0.192294
  -0.57850,   1.56525,   0.45468,  -0.26451,  0.102330
  -1.86729,   0.67595,   0.09734,   0.46836,  0.084213
  -1.31804,  -0.02238,  -0.37834,  -0.06568,  0.131755
   0.97119,   1.45044,   0.17390,  -0.43948,  0.097369
  -1.93006,   1.92128,   0.30571,  -0.42209,  0.057988
  -0.34669,  -1.16060,   0.34741,  -0.26108,  0.143851
  -0.51879,  -1.93562,  -0.41983,  -0.17792,  0.083346
   0.24474,  -1.74155,   0.14611,  -0.07781,  0.096564
  -1.49837,   0.21647,   0.13396,   0.47448,  0.113759
   0.21134,   1.82110,   0.38922,  -0.21813,  0.092184
  -1.55587,  -1.35257,  -0.20389,   0.28511,  0.080678
  -1.08410,  -0.80348,   0.16783,  -0.48502,  0.128567
   1.90681,   0.38309,   0.47455,  -0.04364,  0.086236
  -1.24743,   1.79789,   0.38489,   0.40333,  0.075293
  -1.05189,  -0.72302,   0.18498,   0.46313,  0.136262
   0.42677,   1.24019,   0.12217,  -0.32095,  0.132456
   1.04363,  -0.25450,  -0.62039,   0.31786,  0.162580
   1.49636,  -1.68746,   0.06726,  -0.15295,  0.072680
   0.93797,  -1.98278,   0.20548,  -0.35541,  0.075086
  -1.19913,   1.47874,   0.02094,   0.18862,  0.088348
  -0.66704,  -1.71154,   0.08795,  -0.05522,  0.091981
  -1.59801,   0.70393,  -0.11405,  -0.15666,  0.097330
   1.92355,   1.30283,   0.01375,  -0.41462,  0.070186
   0.82042,   1.09941,   0.19136,  -0.56617,  0.126358
  -1.78942,   0.92084,  -0.50307,   0.05511,  0.082943
   1.94721,   1.85000,  -0.02444,  -0.06749,  0.058975
   1.20856,   0.65664,   0.53041,  -0.34160,  0.126005
   1.64441,   1.60956,  -0.01540,  -0.17486,  0.070986
  -1.79577,   1.54963,  -0.12972,  -0.34727,  0.068483
  -0.37997,  -1.28386,  -0.01008,   0.39436,  0.129624
  -0.34337,   1.08128,   0.11383,   0.11725,  0.153828
   0.23932,  -1.65021,   0.33483,   0.00347,  0.102415
   0.05780,   1.94079,   0.01838,   0.04135,  0.086400
  -0.74692,  -0.00961,  -0.20616,   0.04512,  0.232760
   1.11568,   0.60219,   0.31577,  -0.24184,  0.137222
  -0.81736,  -1.86084,   0.46656,  -0.13901,  0.082009
  -0.99540,   1.90639,  -0.06427,  -0.46926,  0.076829
  -1.80264,  -1.96018,  -0.25313,   0.01489,  0.059592
   0.34902,   1.60090,  -0.04768,  -0.71245,  0.104403
  -1.99097,  -1.82921,   0.33477,  -0.30053,  0.058502
  -1.02388,  -0.17787,  -0.56696,  -0.49225,  0.168092
  -1.59505,  -0.74337,   0.11283,   0.48003,  0.096496
   0.24165,   0.75043,  -0.05637,  -0.00759,  0.220832
  -1.66293,   0.19751,  -0.23098,  -0.11618,  0.101936
  -1.32399,   0.57666,   0.14617,  -0.40473,  0.119658
  -1.36658,   1.61765,  -0.04980,   0.06299,  0.078219
   1.75138,   1.84542,   0.02965,  -0.23938,  0.062978
   0.08252,   1.19513,   0.05605,  -0.07217,  0.145495
  -0.85138,  -0.52983,  -0.14378,   0.11320,  0.174208
   1.35392,   1.88967,  -0.00193,  -0.19484,  0.070136
  -1.69805,  -0.48983,  -0.13026,  -0.48046,  0.096040
  -0.92218,   0.49484,   0.05544,   0.37041,  0.166907
   0.70543,   0.10906,  -0.09625,  -0.15467,  0.243295
  -0.42130,   1.11254,   0.14812,   0.63564,  0.146543
   1.46771,   1.05154,  -0.67159,   0.08367,  0.093775
   1.95450,  -1.59986,   0.02903,  -0.48237,  0.063530
   0.05228,   1.46656,   0.27597,   0.20140,  0.117625
  -1.12418,  -0.32302,  -0.56546,  -0.26849,  0.149108
  -0.98708,  -0.41166,  -0.26916,  -0.07802,  0.163306
   1.82586,  -0.14266,   0.43009,  -0.07674,  0.092291
   0.40486,   0.45248,  -0.14574,  -0.41278,  0.284965
   0.92996,  -1.27971,   0.40646,   0.33069,  0.108481
  -0.69508,   0.09454,  -0.57691,  -0.07189,  0.247462
  -0.36150,  -1.99396,  -0.42164,  -0.13764,  0.082286
  -0.85085,  -1.39003,   0.01004,  -0.12811,  0.105016
  -0.90392,  -0.33940,  -0.44958,  -0.43814,  0.180904
  -0.40426,  -1.31200,   0.52986,   0.28159,  0.126252
  -1.86066,   1.26299,   0.12981,   0.14562,  0.072928
  -0.50610,   0.66228,  -0.17992,   0.46367,  0.209131
   1.49674,   1.27244,   0.49757,   0.02972,  0.085258
  -0.65795,   1.97152,  -0.17939,  -0.40395,  0.079926
   0.29726,   0.50611,  -0.08017,  -0.21096,  0.294663
   0.64397,  -0.18901,  -0.15323,   0.64124,  0.258368
  -1.55062,   0.32266,   0.25140,  -0.33616,  0.108339
  -1.67686,  -0.11140,   0.06931,  -0.26960,  0.101539
  -1.87853,  -1.00132,  -0.05522,   0.37922,  0.077746
   1.60559,   0.11410,  -0.60448,  -0.16148,  0.106450
  -0.03152,  -1.86193,   0.29291,  -0.70551,  0.090580
   0.11989,   0.55424,   0.47744,  -0.03493,  0.304894
  -0.87949,  -1.93631,   0.42993,  -0.37060,  0.077833
  -1.81755,   0.51494,  -0.13086,   0.36620,  0.089127
   1.60659,   1.73022,   0.24078,   0.00897,  0.068856
  -0.12664,  -0.59339,   0.58061,   0.02332,  0.285191
   1.22195,  -0.32890,  -0.31267,  -0.41613,  0.137490
  -0.11017,  -0.33095,   0.57849,  -0.42907,  0.513555
  -1.99471,  -0.52647,   0.41512,  -0.59733,  0.080614
   0.44097,   0.54600,   0.29872,  -0.29727,  0.247343
  -0.87383,  -0.01434,  -0.11170,  -0.15265,  0.199631
   0.22431,   1.03050,   0.08896,  -0.31510,  0.165622
   1.80843,  -1.75804,   0.05830,  -0.11324,  0.063641
   0.66130,  -1.98126,   0.11777,   0.44308,  0.079472
   1.15027,  -0.48625,   0.03173,   0.48588,  0.139387
   1.97294,   0.82288,  -0.32884,   0.05870,  0.077370
  -1.25690,   0.76451,   0.30856,  -0.07993,  0.117312
  -0.59443,   0.21977,  -0.24189,   0.69595,  0.273258
